,city,job_title,company_name,location,summary,salary
1,New+York,Machine Learning Intern,Oath Inc,"New York, NY","Deep dive into the data to understand and apply patterns, while maintaining a sense of the big picture. Oath, a subsidiary of Verizon, is a values-led company...",nothing_found
2,New+York,Mgr/Sr Mgr - Risk Management - Data Scientist,American Express,"New York, NY","As Data Scientist you will apply your expertise in the field of Data Science to monitor and derive actionable insights across various risk including Credit,...",nothing_found
3,New+York,Student / Intern,Oracle,"New York, NY","We are looking for bright, motivated data scientist interns to assist our team of data scientists as they develop cutting edge approaches to solving the most...","$50,000 a year"
4,New+York,Quantitative Analyst,State Street,"New York, NY",Demonstrated ability to translate complex data sets into simplistic visualizations; Managing large and/or complex data sets using statistical tools and database...,"$130,000 - $158,000 a year"
5,New+York,"Analyst - Healthcare Analytics & Delivery, McKinsey New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)","It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. You will work with our Technology team to turn the...",nothing_found
6,New+York,Junior Research Analyst Intern,Acuris,"New York, NY",Prepare data for market and sector reports for publication. We are seeking a Junior Research Analyst Intern for our NYC office based at 330 Hudson Street to...,nothing_found
7,New+York,"Associate Director, Lead Data Scientist",S&P Global,"New York, NY 10041 (Financial District area)","You will need to work closely with internal stakeholders and users, mentor junior scientists, and identify opportunities that lead to business impact and...",nothing_found
8,New+York,"Manager, Business & Data Analysis - Business Intelligence",SiriusXM,"New York, NY 10104 (Midtown area)","Excellent data analysis skills. This position requires broad knowledge of data sources, data integration and data flow as well as a high degree of creativity...",nothing_found
9,New+York,"Quantitative Software Engineer, Feature Modeling Analytics","Two Sigma Investments, LLC.","New York, NY","A high impact role that works directly with data scientists, engineers, and quantitative analysts; Passion for tacking big data challenges....",nothing_found
10,New+York,Natural Language Processing (NLP) Engineer (Vice President),Morgan Stanley,"New York, NY 10032 (Washington Heights area)","We are a highly motivated and collaborative team consisting of data scientists, machine learning engineers and members from academia....",nothing_found
11,New+York,Performance and Programmatic Marketing Summer Masters / MBA Intern,IBM,"New York, NY 10002 (Lower East Side area)","Data Mining / Predictive Modeling (e.g., has worked with databases, pulling and analyzing data using SQL, R, SPSS etc.)....",nothing_found
12,New+York,Business Analyst - Science,AIG,"New York, NY",Collaborate with data scientists to enable the building of effective analytical models. Collaborate with data analysts to enable direct delivery of the business...,nothing_found
13,New+York,Research Analyst,Milliman,"New York, NY 10119 (Chelsea area)",Typical projects include (1) compiling and preparing large datasets on property-casualty claims for data analytics and (2) developing and testing statistical...,nothing_found
14,New+York,Research Analyst Intern - Blockchain,Fresh Digital Group,"New York, NY 10038 (Financial District area)","Be able to identify macro themes and trends, interpret new developments and possibly incomplete data, and build conceptual models using graphs and charts that...",nothing_found
15,New+York,Predictive Modeling Analyst,Oliver Wyman,"New York, NY 10036",Oversee implementation of Knowledge Services’ data strategy & work with departments across the firm to design and develop a leverageable data layer....,nothing_found
16,New+York,Predictive Modeling Analyst,Marsh,"New York, NY",Oversee implementation of Knowledge Services’ data strategy & work with departments across the firm to design and develop a leverageable data layer....,nothing_found
17,New+York,Insights Analyst (Social Media Focus),Beamly,"New York, NY","Scrub data points, marry disparate data segments and sources together, and visualize data using reporting/visualization tools....",nothing_found
18,New+York,ASSOCIATE RESEARCHER I- GENETICS & GENOMIC SCIENCES,Mount Sinai Health System,"New York, NY 10029 (Yorkville area)","Assists in the collection, analysis and review of experimental data for publication and presentation....",nothing_found
19,New+York,"Associate, Analytics",Xaxis,"New York, NY","Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...",nothing_found
20,New+York,"Assessment Science Partner, People Analytics",Facebook,"New York, NY",Demonstrate judgment and discretion when dealing with highly sensitive people data. Experience managing and analyzing structured and unstructured data using...,nothing_found
21,New+York,SUMMER GRADUATE INTERN,POLICE DEPARTMENT,"New York, NY","Intern will be responsible for performing statistical data analysis, along with Microsoft Excel and Access data entry....",$14.93 - $23.73 an hour
22,New+York,Associate Research Analyst,Edelman,"New York, NY",Interpreting research data and insights to create a compelling ‘story’ that meets project and research objectives and is near client-ready for VP review and...,nothing_found
23,New+York,Sr. Manager for Data Analysis & Integration Manager,New York University,"New York, NY","Design and application of tools for data extraction, remediation, enhancement, and aggregation; The Senior Manager for Data Analysis and Integration (DAI) will...",nothing_found
24,New+York,Student Research Collaboration,Google,"New York, NY 10011 (Chelsea area)","Experience (classroom or work related) in Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic...",nothing_found
25,New+York,Sr Data Scientist,Aetna,"New York, NY 10016 (Gramercy area)",Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,nothing_found
26,New+York,"Analytics Expert - Journey Analytics, New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)","Visit us to see what our data scientists have been working on:. Leading your team of data scientists, you will work through our clients entire data ecosystems...",nothing_found
27,New+York,"Analyst, Pricing & Analytics",HarperCollins Publishers Inc.,"New York, NY",Partner with our Data Scientist to analyze data and implement and adapt pricing recommendations and best practices....,nothing_found
28,New+York,"Solution Analyst - Healthcare Analytics & Delivery, New Ventures",McKinsey & Company,"New York, NY 10022 (Midtown area)","It is a unique mix of Healthcare Experts, physicians, statisticians, engineers, data scientists, and more. As one of the fastest-growing parts of our firm, New...",nothing_found
29,New+York,Junior Quantitative Developer,AllianceBernstein,"New York, NY","The Developers will also work closely with the data scientists, engineers, and Fixed Income. Equally strong analytical skills to map data elements between...",nothing_found
30,New+York,Quantitative Research Associate - Full-Time Campus Hire,"Two Sigma Investments, LLC.","New York, NY","Developing trading strategies, from idea generation and data collection to analysis and model creation;...",nothing_found
31,New+York,Research Analyst,Careers - Win,"New York, NY 10001 (Chelsea area)",This role will focus especially on developing and maintaining data dashboards and reports on Win’s internal data network and related staff capacity building in...,nothing_found
32,New+York,Sr. Data Scientist,Comcast,"New York, NY 10020 (Midtown area)",Mentors and train junior team members.- Improve products and services or solve problems using best practice and knowledge of internal and or external business...,nothing_found
33,New+York,Senior Analyst,ACLU,"New York, NY","Building complex data sets from multiple data sources, both internally and externally. This role will also encourage the Business Analyst to grow into an...",nothing_found
34,New+York,Statistician,United Nations,"New York, NY","Organizes, designs, plans and carries out the collection, evaluation, analysis, compilation and dissemination of statistical data and metadata on Sustainable...",nothing_found
35,New+York,"Instagram - Software Engineer, Machine Learning",Facebook,"New York, NY","Machine learning, recommendation systems, pattern recognition, large-scale data mining or artificial intelligence....",nothing_found
36,New+York,"GSAM, Fixed Income, Distressed Research Analyst - Vice President",Goldman Sachs,"New York, NY 10282 (Tribeca area)",MORE ABOUT THIS JOB INVESTMENT MANAGEMENT We’re a team of trusted advisors who provide innovative investment solutions to help our clients meet their...,nothing_found
37,New+York,Research Analyst,Turner,"New York, NY","These applications provide Linear or Digital data, and can include the Nielsen Suite, Fusion data, NPower, Star Media, Adobe Analytics, comScore, MRI, Lake5, Ad...",nothing_found
